,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
18,Constitution Hill W,Western Section,3,3,0,Twin,1980,0.78,"$999,999.00","$999,999.00","$1,040,000.00",3/21/22,5,5
57,N Tulane St,Princeton Center,3,3,0,Traditional,1920,0.11,"$1,025,000.00","$1,025,000.00","$1,055,000.00",1/28/22,12,12
7,Governors Ln,Littlebrook,4,3,1,End Unit,1997,0.3,"$995,500.00","$995,500.00","$1,100,000.00",4/19/22,10,10
273,Western Way,Riverside,3,2,1,Colonial,1947,0.2,"$925,000.00","$925,000.00","$1,100,000.00",3/17/22,7,7
5,Harris Rd,Princeton Center,3,3,0,Contemp,1940,0.18,"$1,050,000.00","$1,050,000.00","$1,136,500.00",1/6/22,9,9
32,Markham Rd,Riverside,3,2,1,Traditional,1920,0.14,"$899,000.00","$899,000.00","$1,175,000.00",1/17/22,13,13
200,Library Pl,Western Section,4,3,1,Colonial,1926,0.24,"$1,195,000.00","$1,195,000.00","$1,190,000.00",1/7/22,9,9
60,Balsam Ln,Riverside,4,4,0,Cape,1955,0.46,"$1,099,000.00","$1,099,000.00","$1,200,000.00",3/11/22,15,15
191,Bertrand Dr,Littlebrook,4,2,1,Colonial,1969,0.76,"$1,199,000.00","$1,199,000.00","$1,204,000.00",4/14/22,8,8
2,Queenston Pl,Princeton Center,5,3,0,Cape,1937,0.29,"$1,085,000.00","$1,085,000.00","$1,310,000.00",1/5/22,10,10
234,Linden Ln,Princeton Center,4,3,1,Contemp,2021,NA,"$1,295,000.00","$1,295,000.00","$1,350,000.00",1/31/22,9,9
1209,Great Rd,Princeton Ridge,5,3,1,Contemp,1980,2.44,"$1,399,000.00","$1,399,000.00","$1,365,000.00",3/18/22,148,148
61-63,Wiggins St,Princeton Center,8,2,2,Double Twin,1904,0.2,"$1,200,000.00","$1,200,000.00","$1,400,000.00",1/7/22,6,6
307,Shadybrook Ln,Littlebrook,5,3,0,Split,1960,0.9,"$1,395,000.00","$1,395,000.00","$1,400,000.00",1/3/22,7,7
184,Mansgrove Rd,Town & Country,5,4,1,Colonial,2020,0.71,"$1,599,500.00","$1,599,500.00","$1,550,000.00",1/21/22,243,243
944,Stuart Rd,Princeton Ridge,6,5,0,Contemp,1982,2.13,"$1,795,000.00","$1,595,000.00","$1,595,000.00",2/25/22,143,143
162,Mercer St,Institute,7,6,2,Colonial,1830,0.38,"$1,900,000.00","$1,599,000.00","$1,599,000.00",3/10/22,181,341
502,Cherry Valley Rd,Pretty Brook Area,7,5,1,Colonial,2009,1.38,"$1,500,000.00","$1,995,000.00","$1,600,000.00",3/31/22,89,711
10,Windy Top Ct,Littlebrook,5,4,1,Colonial,2021,0.49,"$1,650,000.00","$1,650,000.00","$1,650,000.00",2/14/22,4,4
24,Murray Pl,Riverside,4,3,1,Colonial,1915,0.12,"$1,600,000.00","$1,600,000.00","$1,700,000.00",1/12/22,2,2
38,Pardee Cir,Rosedale Area,5,4,0,Colonial,1956,1.49,"$1,730,000.00","$1,730,000.00","$1,710,000.00",1/10/22,57,57
128,Laurel Rd,Town & Country,6,5,1,Contemp,2020,0.64,"$1,685,000.00","$1,685,000.00","$1,715,000.00",1/14/22,208,327
144,Drakes Corner Rd,Pretty Brook Area,4,3,1,Mid-century Modern,1951,2.84,"$1,895,000.00","$1,895,000.00","$1,925,000.00",3/25/22,14,14
1,Barsky Ct,Princeton Center,4,3,1,Colonial,2006,0.2,"$2,150,000.00","$2,150,000.00","$2,000,000.00",3/31/22,6,6
36,Grasmere Way,Pretty Brook Area,5,5,1,Traditional,1999,1.12,"$2,150,000.00","$2,150,000.00","$2,100,000.00",3/22/22,148,148
348,Ridgeview Rd,Princeton Ridge,5,5,1,Traditional,2006,1.9,"$2,199,000.00","$2,199,000.00","$2,100,000.00",1/10/22,12,12
130,Library Pl,Western Section,6,4,1,Colonial,1848,0.59,"$2,200,000.00","$2,200,000.00","$2,150,000.00",4/5/22,1,1
917,Lawrenceville Rd,Battlefield Area,6,6,1,Colonial,2000,3.92,"$2,295,000.00","$2,295,000.00","$2,295,000.00",3/10/22,45,45
414,Brickhouse Rd,Washington Oaks,1,1,0,Flat,1993,NA,"$72,760.00","$72,760.00","$72,760.00",2/26/21,7,7
49-E,Palmer Sq W,Princeton Center,0,1,0,Flat,1932,NA,"$280,000.00","$280,000.00","$270,000.00",3/4/21,67,67
21-D,Palmer Sq W,Princeton Center,0,1,0,Flat,1932,NA,"$299,900.00","$299,900.00","$285,000.00",8/20/21,90,90
9-H,Palmer Sq W,Princeton Center,0,1,0,Flat,1932,NA,"$299,900.00","$299,900.00","$290,000.00",10/1/21,11,11
43-F,Palmer Sq W,Princeton Center,0,1,0,Flat,1932,NA,"$300,000.00","$300,000.00","$300,000.00",3/22/21,5,5
600,Mercer Rd,Battlefield Area,3,1,1,Colonial,1800,1,"$450,000.00","$450,000.00","$350,000.00",3/1/21,180,180
177,Jonathon Dayton Ct,Griggs Farm,2,1,1,End Unit,1991,NA,"$379,000.00","$379,000.00","$385,000.00",9/20/21,12,12
76,David Brearly Ct,Griggs Farm,3,2,1,End Unit,1991,NA,"$375,000.00","$375,000.00","$399,000.00",8/17/21,6,6
37-3,Wiggins St,Princeton Center,2,1,0,Traditional,1910,NA,"$530,000.00","$495,000.00","$430,000.00",11/4/21,84,84
25-I,Palmer Sq W,Princeton Center,1,1,0,Flat,1932,NA,"$465,000.00","$439,000.00","$439,000.00",12/1/21,109,109
25-B,Palmer Sq W,Princeton Center,1,1,0,Flat,1932,NA,"$450,000.00","$450,000.00","$440,000.00",6/18/21,8,8
36-1,Moore St,Princeton Center,1,1,0,Flat,2005,NA,"$440,000.00","$440,000.00","$440,000.00",2/5/21,8,8
195,Jonathon Dayton Ct,Griggs Farm,3,2,1,Townhome,1991,NA,"$455,000.00","$455,000.00","$455,000.00",12/17/21,7,7
528,Brickhouse Rd,Washington Oaks,2,2,0,Flat,1993,NA,"$425,000.00","$425,000.00","$465,500.00",9/30/21,6,6
316,Brickhouse Rd,Washington Oaks,2,2,0,Flat,1993,NA,"$449,000.00","$449,000.00","$475,000.00",4/22/21,7,7
74,Leigh Ave,Princeton Center,4,2,0,Colonial,1900,0.07,"$520,000.00","$520,000.00","$493,300.00",5/17/21,8,8
21,Maclean St,Princeton Center,2,1,0,Twin,1900,0.06,"$525,000.00","$510,000.00","$495,000.00",3/29/21,18,18
321,Brickhouse Rd,Washington Oaks,2,2,0,Flat,1993,NA,"$485,000.00","$485,000.00","$501,000.00",9/15/21,27,27
44-2,Park Pl,Princeton Center,2,1,0,Flat,1920,NA,"$529,000.00","$529,000.00","$505,000.00",5/18/21,55,55
151,John St,Princeton Center,4,1,1,Colonial,1936,0.07,"$465,000.00","$465,000.00","$505,000.00",2/1/21,13,13
33,Green St,Princeton Center,2,2,0,Colonial,1930,0.06,"$525,000.00","$525,000.00","$525,000.00",1/5/21,2,2
200,Mt Lucas Rd,Town & Country,3,1,0,Bungalow,1936,0.16,"$529,900.00","$529,900.00","$540,000.00",5/24/21,19,19
22,Witherspoon Ln,Princeton Center,3,2,0,End Unit,1924,NA,"$550,000.00","$550,000.00","$550,000.00",9/28/21,26,26
628,Cherry Valley Rd,Pretty Brook Area,4,2,1,Detached,1917,1.72,"$875,000.00","$549,000.00","$550,000.00",8/31/21,40,40
371,Franklin Ave,Littlebrook,3,2,0,Ranch,1961,0.21,"$525,000.00","$525,000.00","$550,000.00",3/3/21,5,5
252,William Livingston Ct,Griggs Farm,3,2,2,End Unit,1998,NA,"$525,000.00","$525,000.00","$554,000.00",8/18/21,8,8
73,Moran Ave,Princeton Center,2,1,0,End Unit,1940,NA,"$589,000.00","$575,000.00","$555,000.00",1/11/21,41,41
