,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
145,Valley Rd,Town & Country,4,2,0,Split,1955,0.36,"$749,000.00","$729,000.00","$685,000.00",3/12/19,86,86
44,Southern Way,Riverside,3,1,1,Colonial,1946,0.13,"$649,000.00","$649,000.00","$685,000.00",6/26/19,16,16
246,Witherspoon St,Princeton Center,4,2,2,Cape,1950,0.17,"$699,000.00","$685,000.00","$685,000.00",7/15/19,123,123
25,Linden Ln,Princeton Center,4,1,0,Twin,1910,0.11,"$674,900.00","$674,900.00","$690,000.00",6/7/19,2,2
27,Cambell Woods Way,Campbell Woods,3,2,1,End-Unit,1995,0.43,"$725,000.00","$725,000.00","$695,000.00",2/4/19,99,99
22,Governors Ln,Littlebrook,4,3,2,Townhome,1995,0.3,"$725,000.00","$725,000.00","$695,000.00",8/12/19,89,89
419,Ewing St,Town & Country,3,3,0,Ranch,1979,0.26,"$765,000.00","$699,000.00","$697,000.00",8/16/19,82,82
387,Mt Lucas Rd,Littlebrook,4,2,0,Cape,1953,0.63,"$699,000.00","$699,000.00","$699,000.00",8/19/19,12,12
59,Snowden Ln,Littlebrook,2,1,1,Contemp,1940,0.27,"$749,000.00","$679,000.00","$700,000.00",1/25/19,47,176
4,Fisher Av,Littlebrook,3,1,1,Ranch,1950,0.21,"$725,000.00","$725,000.00","$700,000.00",5/28/19,12,12
264,Mountain Ave,Western Section,2,2,0,Ranch,1950,0.93,"$799,900.00","$749,900.00","$700,000.00",11/7/19,1,430
238,Witherspoon St,Princeton Center,4,2,0,Colonial,1930,0.1,"$699,900.00","$699,900.00","$708,000.00",5/8/19,32,32
136,Randall Rd,Littlebrook,4,2,0,Ranch,1960,0.58,"$829,000.00","$729,000.00","$710,000.00",11/6/19,132,132
39,Linwood Cir,Littlebrook,4,2,1,Cape,1965,0.58,"$739,000.00","$739,000.00","$714,000.00",9/23/19,48,48
20,Wilkinson Way,Washington Oaks,3,2,1,Townhome,1993,0.05,"$740,000.00","$715,000.00","$715,000.00",6/14/19,86,86
51,N Tulane St,Princeton Center,3,2,0,Traditional,1920,0.11,"$799,000.00","$799,000.00","$715,000.00",9/30/19,46,46
207,Mansgrove Rd,Town & Country,3,2,1,Ranch,1955,0.33,"$749,000.00","$749,000.00","$715,000.00",11/4/19,54,54
260,Prospect Av,Riverside,4,1,0,Cape,1941,0.31,"$979,500.00","$882,000.00","$715,000.00",12/23/19,57,57
2,Laurel Rd,Town & Country,4,2,0,Cape,1965,0.23,"$725,000.00","$725,000.00","$718,740.00",6/28/19,9,9
6,Burr Dr,Campbell Woods,3,2,1,Townhome,1996,0.43,"$720,000.00","$720,000.00","$720,000.00",8/13/19,6,6
46,Terhune Rd,Town & Country,4,2,1,Colonial,1965,0.26,"$769,000.00","$769,000.00","$721,000.00",6/14/19,12,12
32,Snowden Ln,Littlebrook,4,2,0,Cape,1949,0.39,"$599,000.00","$599,000.00","$724,000.00",4/16/19,8,8
337,Dodds Ln,Littlebrook,4,2,1,Bi-level,1955,0.86,"$780,000.00","$780,000.00","$725,000.00",2/21/19,1,1
51,Maple St,Princeton Center,3,3,0,Colonial,1920,0.12,"$799,000.00","$799,000.00","$725,000.00",6/17/19,6,6
15,Oakland St,Princeton Center,3,1,1,Colonial,1910,0.17,"$725,000.00","$725,000.00","$725,000.00",11/12/19,16,16
42,Wilkinson Way,Washington Oaks,3,2,1,Townhome,1993,0.05,"$730,000.00","$730,000.00","$730,000.00",7/19/19,16,16
253,Hawthorne Ave,Princeton Center,3,2,1,Twin,1954,0.16,"$699,000.00","$699,000.00","$731,000.00",4/4/19,7,7
1,Trewbridge Ct,Fieldwood Manors,3,3,1,End Unit,2000,NA,"$765,051.00","$755,000.00","$743,500.00",9/26/19,69,100
28,Maidenhead Rd,Fieldwood Manors,3,2,1,Townhome,2000,0.07,"$748,000.00","$748,000.00","$748,000.00",12/6/19,4,4
59,Longview Dr,Riverside,3,2,1,Ranch,1953,0.48,"$750,000.00","$750,000.00","$750,000.00",5/9/19,8,8
478,Riverside Dr,Riverside,3,2,0,Ranch,1955,0.53,"$750,000.00","$750,000.00","$750,000.00",7/17/19,6,6
12,Pelham St,Riverside,3,1,1,Colonial,1925,0.1,"$750,000.00","$750,000.00","$750,000.00",8/12/19,20,20
782,Kingston Rd,Littlebrook,4,2,1,Colonial,1973,0.56,"$824,900.00","$798,900.00","$750,000.00",10/8/19,80,80
310,Jefferson Rd,Town & Country,5,3,0,Split,1948,0.28,"$775,000.00","$740,000.00","$750,000.00",10/10/19,68,68
197,Valley Rd,Town & Country,4,2,1,Contemp,1967,0.26,"$750,000.00","$750,000.00","$750,000.00",12/30/19,1,1
864,Lawrenceville Rd,Battlefield Area,6,6,0,Colonial,1913,3.46,"$1,248,000.00","$719,900.00","$752,800.00",9/6/19,77,262
149,Randall Rd,Littlebrook,4,2,1,Colonial,1958,0.45,"$849,000.00","$799,000.00","$755,000.00",3/29/19,209,209
57,Maidenhead Rd,Fieldwood Manors,3,3,1,End Unit,2000,0.15,"$765,000.00","$765,000.00","$755,000.00",10/3/19,15,15
13,Trewbridge Ct,Fieldwood Manors,3,3,1,Townhome,2000,0.07,"$755,000.00","$755,000.00","$757,000.00",7/12/19,10,10
362,Dodds Ln,Littlebrook,4,2,1,Colonial,1968,0.75,"$788,000.00","$788,000.00","$760,000.00",4/5/19,1,1
121,Sycamore Rd,Riverside,3,2,0,Ranch,1956,0.88,"$650,000.00","$650,000.00","$762,000.00",3/5/19,6,6
610,Snowden Ln,Littlebrook,4,2,0,Contemp,1950,2.23,"$899,999.00","$849,900.00","$765,000.00",4/30/19,65,224
52,Winant Rd,Hun Area,3,3,0,Contemp,1954,1.57,"$950,000.00","$849,000.00","$767,000.00",9/24/19,115,151
55,Wilkinson Way,Washington Oaks,3,3,1,End Unit,1993,0.09,"$768,000.00","$768,000.00","$773,000.00",12/3/19,7,7
351,State Rd,Littlebrook,5,4,0,Contemp,1955,2.62,"$879,000.00","$795,000.00","$780,000.00",2/28/19,149,149
80,Jefferson Rd,Princeton Center,4,2,0,Twin,1920,0.09,"$799,000.00","$799,000.00","$780,000.00",12/23/19,26,26
11,Camplell Woods Way,Campbell Woods,3,2,1,End-Unit,1996,0.43,"$749,000.00","$749,000.00","$785,000.00",8/26/19,4,4
14,Wheatsheaf Ln,Littlebrook,3,2,2,Contemp,1985,0.25,"$789,000.00","$789,000.00","$789,000.00",4/25/19,1,1
40,N Harrison St,Princeton Center,3,2,1,Twin,2005,0.33,"$885,000.00","$799,000.00","$795,000.00",8/30/19,72,72
2,Harris Rd,Princeton Center,4,3,1,Twin,1955,0.09,"$899,000.00","$850,000.00","$799,000.00",9/30/19,131,131
1025,Stuart Rd,Princeton Ridge,4,4,1,Contemp,1976,2.05,"$799,000.00","$799,000.00","$799,000.00",11/26/19,26,26
65,Pine St,Princeton Center,2,2,1,Townhome,1980,0.04,"$980,000.00","$799,000.00","$805,000.00",11/8/19,49,695
102,Snowden Ln,Littlebrook,4,2,1,Colonial,1973,0.21,"$1,129,000.00","$875,000.00","$815,000.00",7/29/19,60,207
12,Stonewall Cir,Princeton Ridge,3,2,1,Twin,1997,0.14,"$849,500.00","$849,500.00","$825,000.00",4/15/19,35,35
55-57,Leigh Ave,Princeton Center,4,2,0,Colonial,1930,0.14,"$850,000.00","$850,000.00","$825,000.00",7/31/19,38,38
113,Linwood Cir,Littlebrook,5,3,0,Colonial,1968,0.55,"$935,000.00","$935,000.00","$836,000.00",1/8/19,43,43
142,Mercer St,Princeton Center,4,2,1,Colonial,1893,0.18,"$1,100,000.00","$885,000.00","$837,000.00",5/3/19,60,238
85,Overbrook Dr,Littlebrook,4,3,0,Cape,1950,0.46,"$839,000.00","$839,000.00","$839,000.00",7/19/19,7,7
171,Ridgeview Cir,Princeton Ridge,3,4,0,Ranch,1957,0.73,"$869,000.00","$869,000.00","$845,000.00",7/26/19,56,56
289,Jefferson Rd,Town & Country,3,2,0,Ranch,1950,0.75,"$849,500.00","$849,500.00","$849,500.00",4/23/19,27,27
21,Richard Ct,Princeton Center,3,2,1,Townhome,1985,0.05,"$895,000.00","$895,000.00","$850,000.00",6/25/19,12,12
15,Poor Farm,Littlebrook,4,3,0,Contemp,1979,0.61,"$870,000.00","$870,000.00","$850,000.00",7/12/19,64,64
41,Constitution Hill W,Western Section,4,3,1,Twin,1980,0.78,"$850,000.00","$850,000.00","$850,000.00",7/24/19,19,19
96,Dempsey Ave,Town & Country,3,2,1,Ranch,1957,0.37,"$938,000.00","$938,000.00","$850,000.00",7/25/19,44,44
30,Robert Rd,Riverside,4,3,1,Cape,1961,0.23,"$799,000.00","$799,000.00","$863,000.00",5/20/19,12,12
1,Van Marter,Fieldwood Manors,4,2,2,Colonial,2000,0.38,"$950,000.00","$950,000.00","$865,000.00",6/20/19,38,38
28,Warren Ct,Washington Oaks,4,2,1,Colonial,1993,0.25,"$999,000.00","$890,000.00","$865,000.00",8/21/19,121,300
180,Laurel Rd,Town & Country,4,4,0,Traditional,1955,0.29,"$885,000.00","$885,000.00","$865,000.00",10/24/19,47,47
291,Elm Rd,Western Section,4,3,1,Split,1960,0.46,"$869,000.00","$869,000.00","$870,000.00",5/20/19,29,29
661,Lawrenceville Rd,Battlefield Area,5,4,0,Colonial,2006,2.2,"$1,600,000.00","$1,350,000.00","$875,000.00",4/10/19,68,433
85,Winant Rd,Hun Area,3,2,0,Ranch,1952,0.71,"$975,000.00","$950,000.00","$875,000.00",7/31/19,35,35
41,Gulick Rd,Littlebrook,4,3,0,Cape,1952,0.44,"$875,000.00","$875,000.00","$875,000.00",8/15/19,26,26
6,Tyson Ln,Littlebrook,5,3,0,Bi-Level,1972,1.15,"$899,900.00","$899,900.00","$875,000.00",8/23/19,73,73
107,Moore St,Princeton Center,4,1,1,Colonial,1929,0.26,"$859,000.00","$859,000.00","$875,000.00",10/18/19,5,5
85,Fairway Dr,Rosedale Area,4,2,1,Colonial,1959,2.34,"$900,000.00","$900,000.00","$880,000.00",10/15/19,20,20
141,Bertrand Dr,Littlebrook,4,2,1,Ranch,1977,0.76,"$1,150,000.00","$875,000.00","$885,000.00",1/22/19,214,214
1177,Stuart Rd,Princeton Ridge,4,3,2,Contemp,1983,2.32,"$999,000.00","$910,000.00","$895,000.00",1/25/19,210,210
47,Broadripple Dr,Littlebrook,4,2,0,Split,1960,0.8,"$899,000.00","$899,000.00","$899,000.00",5/15/19,25,25
207,Riverside Dr,Riverside,5,2,1,Contemp,1955,0.46,"$899,000.00","$899,000.00","$899,000.00",6/14/19,14,14
275,Riverside Dr,Riverside,4,4,0,Split,1955,0.49,"$899,000.00","$899,000.00","$900,000.00",5/10/19,17,17
79,Jefferson Rd,Princeton Center,4,3,1,Twin,NA,0.17,"$929,000.00","$929,000.00","$900,000.00",6/13/19,113,114
145,Shadybrook Ln,Littlebrook,4,3,0,Split,1956,0.85,"$900,000.00","$900,000.00","$900,000.00",7/15/19,26,26
5,Firestone Ct,Riverside,3,2,0,Townhome,1987,NA,"$949,000.00","$949,000.00","$900,000.00",8/26/19,125,125
7,Park Pl,Princeton Center,5,3,0,Victorian,1900,0.09,"$925,000.00","$925,000.00","$901,000.00",7/25/19,22,22
110,Potters Run,Rosedale Area,4,2,1,Colonial,1988,1.26,"$969,900.00","$940,000.00","$905,000.00",7/19/19,37,37
44,Moore St,Princeton Center,3,2,1,Colonial,1950,0.23,"$980,000.00","$950,000.00","$905,000.00",10/31/19,129,129
268,Mount Lucas Rd,Town & Country,4,3,0,Contemp,1955,0.32,"$1,085,000.00","$969,500.00","$908,000.00",8/16/19,68,68
76,Herrontown Rd,Littlebrook,4,2,1,Dutch Colonial,1963,0.82,"$1,100,000.00","$949,999.00","$910,000.00",4/1/19,217,217
77,Jefferson Rd,Princeton Center,4,3,1,Twin,NA,0.17,"$929,000.00","$929,000.00","$910,000.00",9/30/19,3,114
257,Moore St,Princeton Center,2,2,1,Contemp,1957,0.18,"$910,000.00","$910,000.00","$910,000.00",11/7/19,1,1
15,Jefferson Rd,Princeton Center,4,2,0,Traditional,1920,0.13,"$1,200,000.00","$950,000.00","$915,000.00",11/22/19,57,217
124,Quarry Ln,Western Section,4,3,1,Colonial,1982,0.46,"$949,000.00","$949,000.00","$920,000.00",12/3/19,26,26
57,Jefferson Rd,Princeton Center,4,1,1,Craftsman,1916,0.17,"$995,000.00","$950,000.00","$930,000.00",8/16/19,56,56
6,Maidenhead Rd,Fieldwood Manors,4,3,1,Colonial,2000,0.29,"$925,000.00","$925,000.00","$930,000.00",9/25/19,37,37
52,Mason Dr,Riverside,4,2,1,Colonial,1960,0.53,"$979,000.00","$949,000.00","$935,000.00",5/20/19,42,42
112,Philip Dr,Riverside,4,2,1,Colonial,1964,0.5,"$875,000.00","$875,000.00","$937,500.00",1/4/19,10,10
348,Mount Lucas Rd,Littlebrook,4,3,0,Colonial,1992,3.21,"$1,100,000.00","$949,000.00","$949,000.00",8/26/19,127,127
24,Bayard Ln,Western Section,7,4,1,Victorian,1870,0.29,"$1,199,000.00","$979,900.00","$950,000.00",3/1/19,216,216
52,Governors Ln,Littlebrook,4,3,1,End-Unit,1989,0.3,"$968,000.00","$968,000.00","$950,000.00",4/25/19,8,8
5,Harris Rd,Princeton Center,3,3,0,Contemp,1940,0.18,"$888,000.00","$888,000.00","$950,000.00",9/27/19,4,4
29,Wilton St,Riverside,4,3,0,Colonial,2017,0.14,"$1,159,000.00","$995,000.00","$950,000.00",10/18/19,90,266
14,Governors Ln,Littlebrook,5,4,1,Colonial,1997,0.3,"$1,280,000.00","$999,000.00","$955,000.00",12/10/19,117,356
137,Philip Dr,Riverside,4,2,1,Colonial,1967,0.5,"$979,000.00","$979,000.00","$969,000.00",4/1/19,36,36
892,Kingston Rd,Littlebrook,4,4,0,Traditional,NA,0.6,"$1,099,000.00","$999,000.00","$970,000.00",9/27/19,30,209
2,Firestone Ct,Riverside,3,3,1,Townhome,1987,NA,"$999,000.00","$999,000.00","$980,000.00",9/30/19,84,84
91,Fleming Way,Washington Oaks,4,2,1,Colonial,1993,0.28,"$995,000.00","$995,000.00","$985,000.00",9/6/19,37,37
305,Prospect Av,Riverside,4,2,1,Colonial,1963,0.3,"$985,000.00","$985,000.00","$985,000.00",11/22/19,1,1
68-3,Lovers Ln,Princeton Center,2,2,1,Flat,1854,0.46,"$989,000.00","$989,000.00","$989,000.00",1/31/19,21,21
26,Howe Cir,Riverside,4,2,1,Split,1960,0.56,"$1,149,000.00","$997,000.00","$990,000.00",6/5/19,86,86
118,Cedar Ln,Riverside,4,2,0,Dutch,1950,0.37,"$1,050,000.00","$1,050,000.00","$995,000.00",5/31/19,46,46
67,Greenway Terr,Rosedale Area,5,3,1,Colonial,1971,2.06,"$1,100,000.00","$1,020,000.00","$995,000.00",6/28/19,268,268
9,Pardoe Rd,Western Section,4,3,1,Split,1955,0.6,"$1,175,000.00","$1,125,000.00","$995,000.00",8/26/19,55,55
76,Cedar Ln,Riverside,5,3,1,Cape,1952,0.3,"$1,299,000.00","$999,999.00","$995,000.00",8/28/19,31,31
79,Hemlock Cir,Riverside,4,2,1,Colonial,1965,0.47,"$995,000.00","$995,000.00","$995,000.00",9/18/19,11,11
30,Russell Rd,Hun Area,4,4,1,Colonial,2002,0.67,"$1,175,000.00","$1,075,000.00","$999,000.00",12/6/19,114,114
113,Cleveland Ln,Western Section,4,3,1,Colonial,1930,0.6,"$1,050,000.00","$1,050,000.00","$999,999.00",10/25/19,1,1
7,Kimberly Ct,The Glen,3,2,1,Contemp,1986,0.52,"$999,000.00","$1,019,000.00","$1,002,806.00",4/26/19,20,99
759,Prospect Av,Riverside,3,3,1,Other,2001,0.5,"$1,080,000.00","$1,045,000.00","$1,021,800.00",11/14/19,190,190
155,Hamilton Av,Princeton Center,5,5,0,Colonial,1940,0.14,"$1,375,000.00","$1,175,000.00","$1,025,000.00",9/16/19,43,128
51,Southern Way,Riverside,4,2,1,Colonial,1950,0.19,"$1,025,000.00","$1,025,000.00","$1,035,000.00",8/30/19,15,15
201,Mercer St,Institute,4,4,1,Contemp,1985,0.46,"$1,150,000.00","$1,100,000.00","$1,044,475.00",7/10/19,124,124
1772,Stuart Rd West,Pretty Brook Area,5,3,1,Colonial,1964,2.41,"$1,199,000.00","$1,199,000.00","$1,050,000.00",6/20/19,76,76
586,Snowden Ln,Littlebrook,5,4,0,Contemp,1983,1.94,"$999,900.00","$999,900.00","$1,052,000.00",5/17/19,10,10
69,Dogwood Hill,Littlebrook,4,3,1,Colonial,1986,0.79,"$985,000.00","$985,000.00","$1,054,500.00",8/23/19,4,4
166,Wilson Rd,Western Section,5,2,2,Colonial,1961,0.8,"$1,150,000.00","$1,099,000.00","$1,060,000.00",2/22/19,58,58
237,Wendover Dr,Rosedale Area,5,4,1,Colonial,1969,2.03,"$1,099,000.00","$1,099,000.00","$1,070,000.00",2/1/19,43,43
117,Leabrook Ln,Littlebrook,4,2,1,Colonial,1960,0.87,"$1,100,000.00","$1,100,000.00","$1,070,000.00",8/16/19,53,53
84,Allison Rd,Western Section,5,5,0,Contemp,1947,0.9,"$1,295,000.00","$1,195,000.00","$1,075,000.00",2/15/19,242,242
37,Ridgeview Rd,Princeton Ridge,5,4,1,Colonial,1952,2,"$1,250,000.00","$1,090,000.00","$1,075,000.00",10/14/19,102,169
309,Ridgeview Rd,Princeton Ridge,4,4,1,Colonial,2002,0.67,"$1,175,000.00","$1,075,000.00","$1,075,000.00",12/19/19,113,113
24,Deer Path,Littlebrook,3,2,1,Contemp,1955,0.5,"$1,125,000.00","$1,094,000.00","$1,084,000.00",5/6/19,85,85
7,Armour Rd,Western Section,4,3,1,Other,1940,0.63,"$1,250,000.00","$1,124,000.00","$1,100,000.00",2/28/19,172,172
945,Great Rd,Princeton Ridge,5,4,1,Contemp,1972,4.83,"$1,495,000.00","$1,295,000.00","$1,100,000.00",4/1/19,319,319
22,Pelham St,Riverside,4,4,0,Colonial,2017,0.12,"$1,499,000.00","$1,159,000.00","$1,100,000.00",4/22/19,157,425
108,Clover Ln,Littlebrook,4,3,1,Ranch,1955,0.46,"$1,099,000.00","$1,099,000.00","$1,100,000.00",4/30/19,6,6
152,Cedar Ln,Riverside,4,2,1,Colonial,1947,0.33,"$1,200,000.00","$1,200,000.00","$1,100,000.00",6/10/19,21,21
2,Audubon Ln,Rosedale Area,4,3,1,Colonial,1965,2.04,"$1,475,000.00","$1,195,000.00","$1,100,000.00",6/25/19,43,520
66,Patton Av,Riverside,4,2,1,Traditional,1920,0.14,"$1,250,000.00","$1,100,000.00","$1,100,000.00",12/12/19,211,211
57,Elm Rd,Western Section,3,2,0,Colonial,1941,0.51,"$1,199,000.00","$1,199,000.00","$1,105,000.00",3/21/19,115,115
212,Herrontown Rd,Littlebrook,5,4,1,Colonial,1952,0.47,"$1,295,000.00","$1,195,000.00","$1,115,000.00",7/9/19,67,67
9,Fairway Dr,Rosedale Area,4,4,1,Colonial,1965,2.09,"$1,165,000.00","$1,165,000.00","$1,125,000.00",8/6/19,93,93
48,Dorann Ave,Littlebrook,4,3,1,Contemp,2015,0.24,"$1,188,000.00","$1,148,000.00","$1,138,000.00",4/23/19,35,156
8,Foulet Dr,Princeton Ridge,4,3,1,Contemp,1989,0.6,"$1,295,000.00","$1,199,000.00","$1,150,000.00",5/31/19,87,87
1163,Great Rd,Princeton Ridge,5,5,1,Colonial,NA,2.01,"$1,899,000.00","$1,450,000.00","$1,150,000.00",8/1/19,93,502
51,Leabrook Ln,Littlebrook,4,3,0,Ranch,1965,0.47,"$1,200,000.00","$1,200,000.00","$1,150,000.00",12/5/19,1,1
229,Terhune Rd,Town & Country,4,3,0,Split,1960,0.23,"$1,249,000.00","$1,249,000.00","$1,160,000.00",7/31/19,78,78
183,Edgerstoune Rd,Hun Area,5,4,1,Colonial,1940,0.97,"$1,190,000.00","$1,190,000.00","$1,162,500.00",6/3/19,12,12
6,Andrews Ln,Princeton Ridge,5,4,0,Contemp,1987,0.6,"$1,195,000.00","$1,195,000.00","$1,170,000.00",10/1/19,54,54
283,Mount Lucas Rd,Town & Country,4,3,0,Contemp,1958,0.28,"$1,195,000.00","$1,195,000.00","$1,195,000.00",7/11/19,36,36
373,Ewing St,Princeton Center,4,4,0,Colonial,1955,0.25,"$1,119,000.00","$1,199,000.00","$1,199,000.00",6/20/19,92,92
148,Fairway Dr,Rosedale Area,7,6,1,Traditional,1960,2.08,"$1,899,000.00","$1,349,000.00","$1,200,000.00",7/15/19,137,281
4,Queenston Pl,Princeton Center,6,4,1,Colonial,1930,0.63,"$1,390,000.00","$1,390,000.00","$1,200,000.00",8/5/19,123,123
456,Ewing St,Town & Country,4,3,0,Contemp,1956,0.37,"$1,299,999.00","$1,299,999.00","$1,200,000.00",10/15/19,30,30
880,Lawrenceville Rd,Battlefield Area,4,4,0,Contemp,1950,3.88,"$1,290,000.00","$1,210,000.00","$1,200,000.00",12/11/19,147,147
267,Riverside Dr,Riverside,4,2,1,Contemp,1953,0.46,"$1,199,000.00","$1,199,000.00","$1,205,000.00",11/1/19,14,14
89,Castle Howard Ct,Riverside,5,4,0,Colonial,1969,0.75,"$1,212,500.00","$1,212,500.00","$1,207,700.00",4/29/19,73,73
310,Nassau St,Princeton Center,4,2,1,Colonial,1938,0.17,"$1,199,000.00","$1,199,000.00","$1,210,000.00",6/26/19,5,5
52,Dodds Ln,Littlebrook,4,4,1,Split,1968,0.98,"$985,000.00","$985,000.00","$1,213,000.00",6/11/19,15,15
268,Stockton St,Institute,4,4,2,Traditional,1930,1.72,"$1,099,000.00","$1,099,000.00","$1,225,000.00",6/28/19,14,14
162,Jefferson Rd,Princeton Center,4,2,1,Colonial,1926,0.22,"$1,295,000.00","$1,295,000.00","$1,250,000.00",3/11/19,39,39
154,Prospect Av,Riverside,3,2,1,Colonial,1925,0.32,"$1,250,000.00","$1,250,000.00","$1,250,000.00",7/12/19,8,8
175,Arreton Rd,Princeton Ridge,5,4,1,Colonial,1988,1,"$1,299,000.00","$1,299,000.00","$1,260,000.00",7/2/19,42,42
21,Foulet Dr,Princeton Ridge,5,4,1,Traditional,1989,0.6,"$1,325,000.00","$1,279,000.00","$1,265,000.00",5/29/19,63,63
343,Jefferson Rd,Town & Country,5,4,1,Colonial,2014,0.31,"$1,347,000.00","$1,320,000.00","$1,270,000.00",9/6/19,108,108
25,Foulet Dr,Princeton Ridge,4,4,2,Colonial,1989,0.99,"$1,550,000.00","$1,395,000.00","$1,270,000.00",12/6/19,150,305
170,Terhune Rd,Town & Country,4,3,2,Colonial,2018,0.31,"$1,299,000.00","$1,375,000.00","$1,280,000.00",6/6/19,314,314
218,Gallup Rd,Battlefield Area,5,4,1,Colonial,1968,2,"$1,580,000.00","$1,329,000.00","$1,300,000.00",7/5/19,135,370
508,Mt Lucas Rd,Littlebrook,5,3,2,French,2005,2.25,"$1,399,000.00","$1,347,000.00","$1,300,000.00",8/9/19,45,45
61,Westcott Rd,Western Section,5,5,1,Traditional,1920,0.73,"$1,850,000.00","$1,490,000.00","$1,325,000.00",11/12/19,1,428
240,Arreton Rd,Princeton Ridge,6,4,1,Colonial,1989,1.05,"$1,399,999.00","$1,399,999.00","$1,335,000.00",8/9/19,46,46
44,Maple St,Princeton Center,5,3,1,Victorian,1900,0.13,"$1,550,000.00","$1,450,000.00","$1,340,000.00",6/3/19,68,216
112,Linden Ln,Princeton Center,4,2,1,Colonial,2018,0.14,"$1,395,900.00","$1,395,900.00","$1,350,000.00",1/14/19,54,54
1827,Stuart Rd West,Pretty Brook Area,5,3,2,Contemp,1979,2,"$1,350,000.00","$1,365,000.00","$1,365,000.00",12/3/19,10,10
102,Cherry Hill Rd,Princeton Ridge,4,4,0,Colonial,1990,2.12,"$2,175,000.00","$1,499,000.00","$1,370,000.00",3/12/19,371,658
14,Edgehill St,Institute,4,3,1,Colonial,1835,0.18,"$1,375,000.00","$1,375,000.00","$1,375,000.00",6/7/19,9,9
34,Oakland St,Princeton Center,2,3,0,Contemp,1982,0.52,"$1,500,000.00","$1,395,000.00","$1,375,000.00",11/22/19,145,145
241,Moore St,Princeton Center,4,3,0,Traditional,1939,0.18,"$1,395,000.00","$1,395,000.00","$1,385,000.00",2/15/19,8,8
114,Mercer St,Institute,4,4,1,Colonial,1835,0.23,"$1,299,000.00","$1,299,000.00","$1,390,000.00",5/20/19,12,12
260,Hawthorne Ave,Princeton Center,4,5,0,Traditional,2019,0.21,"$1,549,000.00","$1,499,000.00","$1,417,000.00",11/12/19,142,142
193,Ridgeview Rd,Princeton Ridge,4,3,1,Colonial,1925,5.32,"$1,550,000.00","$1,550,000.00","$1,436,000.00",6/24/19,77,77
286,Christopher Dr,Ettl Farm,4,4,1,Colonial,1995,0.7,"$1,499,000.00","$1,499,000.00","$1,450,000.00",4/29/19,14,14
108,Mercer St,Institute,5,5,1,Colonial,1830,0.51,"$1,450,000.00","$1,450,000.00","$1,450,000.00",6/3/19,9,9
27,Olden Ln,Institute,5,4,1,Colonial,1965,0.51,"$1,500,000.00","$1,500,000.00","$1,475,000.00",9/13/19,22,22
428,Mount Lucas Rd,Littlebrook,5,4,1,Colonial,2018,1.04,"$1,450,000.00","$1,450,000.00","$1,480,500.00",4/30/19,192,192
3,Ober Rd,Institute,4,4,0,Cape Cod,1951,0.98,"$1,680,000.00","$1,680,000.00","$1,500,000.00",3/22/19,57,57
724,Kingston Rd,Littlebrook,4,4,1,Colonial,2018,0.58,"$1,599,000.00","$1,599,000.00","$1,500,000.00",5/25/19,168,168
302,Jefferson Rd,Town & Country,5,4,1,Colonial,2009,0.36,"$1,588,000.00","$1,588,000.00","$1,510,000.00",8/9/19,12,12
144,Guyot Ave,Princeton Center,4,4,0,Colonial,2019,0.34,"$1,649,000.00","$1,649,000.00","$1,518,000.00",8/2/19,76,76
747,Princeton-Kingston Rd,Riverside,6,5,1,Colonial,2018,0.46,"$1,799,000.00","$1,579,000.00","$1,525,000.00",7/15/19,269,626
129,Stone Cliff Rd,Ettl Farm,5,5,1,Colonial,1999,0.51,"$1,550,000.00","$1,550,000.00","$1,580,000.00",10/3/19,11,11
182,Snowden Ln,Littlebrook,4,3,1,Colonial,1971,0.63,"$1,585,000.00","$1,585,000.00","$1,585,000.00",3/29/19,2,2
621,Lake Dr,Riverside,4,2,2,Ranch,1955,0.69,"$1,950,000.00","$1,720,000.00","$1,600,000.00",5/3/19,340,340
72,Knoll Dr,Riverside,5,5,1,Colonial,2008,0.53,"$1,699,000.00","$1,699,000.00","$1,625,000.00",8/20/19,37,37
109,Ridgeview Cir,Princeton Ridge,5,4,1,Colonial,1993,2.29,"$1,778,000.00","$1,778,000.00","$1,640,000.00",7/24/19,16,16
148,Herrontown Rd,Littlebrook,5,5,2,Colonial,2018,0.76,"$1,988,000.00","$1,750,000.00","$1,650,000.00",6/26/19,300,300
436,Prospect Av,Riverside,5,3,1,Colonial,2005,0.6,"$1,699,000.00","$1,699,000.00","$1,660,000.00",8/20/19,50,50
22,Paul Robeson Pl,Princeton Center,3,3,1,Townhome,2017,NA,"$1,825,000.00","$1,699,000.00","$1,675,000.00",12/2/19,956,956
199,Snowden Ln,Littlebrook,5,5,1,Colonial,2018,0.46,"$1,899,000.00","$1,735,500.00","$1,680,000.00",7/10/19,33,636
2,Morven Pl,Western Section,4,4,1,Colonial,1905,0.34,"$1,895,000.00","$1,895,000.00","$1,732,000.00",5/15/19,236,236
25,Haslet Av,Institute,4,3,1,Traditional,1937,0.52,"$2,200,000.00","$1,850,000.00","$1,750,000.00",5/28/19,260,260
96,Battle Rd,Institute,4,3,1,Colonial,1950,0.6,"$1,950,000.00","$1,875,000.00","$1,750,000.00",11/26/19,186,186
